gene_symbol,uniprot_id,compound_id,smiles,relation,value,units
SNCA,P37840,CHEMBL493,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,=,24700.0,nM
SNCA,P37840,CHEMBL59,NCCc1ccc(O)c(O)c1,=,530.0,nM
SNCA,P37840,CHEMBL531,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,=,7900.0,nM
SNCA,P37840,CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,=,270.0,nM
SNCA,P37840,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,=,161800.0,nM
SNCA,P37840,CHEMBL1550,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,=,15000.0,nM
SNCA,P37840,CHEMBL259223,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,=,15000.0,nM
SNCA,P37840,CHEMBL590,CC1=CC(=O)c2ccccc2C1=O,=,15000.0,nM
MAPT,P10636,CHEMBL405110,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],=,31000.0,nM
GRIN1,Q05586,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,=,9100.0,nM
GRIN1,Q05586,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,=,84600.0,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,6700.0,nM
LRRK2,Q5S007,CHEMBL226345,Nc1[nH]cnc2ncnc1-2,=,15809.0,nM
LRRK2,Q5S007,CHEMBL226345,Nc1[nH]cnc2ncnc1-2,=,6715.0,nM
MAPT,P10636,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,>,200000.0,nM
GRIN1,Q05586,CHEMBL452461,O=c1c2c(c1=O)N(CCP(=O)(O)O)CCCN2,=,30.0,nM
GRIN1,Q05586,CHEMBL575060,N[C@@H](CCC(=O)O)C(=O)O,=,70.0,nM
GRIN1,Q05586,CHEMBL452461,O=c1c2c(c1=O)N(CCP(=O)(O)O)CCCN2,=,7600.0,nM
SNCA,P37840,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,=,3300.0,nM
MAPT,P10636,CHEMBL279014,CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,=,10900.0,nM
MAPT,P10636,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,=,3000.0,nM
LRRK2,Q5S007,CHEMBL4297865,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,=,410.3,nM
LRRK2,Q5S007,CHEMBL2316582,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,=,80.0,nM
LRRK2,Q5S007,CHEMBL1738757,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1,=,737.0,nM
LRRK2,Q5S007,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,=,19.0,nM
LRRK2,Q5S007,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,=,79.0,nM
LRRK2,Q5S007,CHEMBL4297865,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,=,177.0,nM
LRRK2,Q5S007,CHEMBL2316582,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,=,17.0,nM
LRRK2,Q5S007,CHEMBL1738757,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1,=,192.0,nM
LRRK2,Q5S007,CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,=,31.0,nM
LRRK2,Q5S007,CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,=,200.0,nM
LRRK2,Q5S007,CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,=,600.0,nM
SNCA,P37840,CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,=,2580.0,nM
GRIN1,Q05586,CHEMBL575060,N[C@@H](CCC(=O)O)C(=O)O,=,200.0,nM
GRIN1,Q05586,CHEMBL305187,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,=,127.8,nM
