compound_name,compound_id,smiles,target_gene,admet_score,fda_approval_status,clinical_trials_count,adverse_events_count
ESKETAMINE,CHEMBL395091,CN[C@]1(c2ccccc2Cl)CCCCC1=O,GRIN1,0.7341,APPROVED,1,5
LANSOPRAZOLE,CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,MAPT,0.6353,APPROVED,0,5
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,0.6932,APPROVED,0,5
FLORQUINITAU,CHEMBL4804173,Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,MAPT,0.5883,CLINICAL_TRIAL,0,5
RETINOL,CHEMBL986,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,SNCA,0.548,APPROVED,0,5
